DEBUG 47513: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.0, TotDur=3.0, QtyDia=0.33
DEBUG 47513: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.0, TotDur=3.0, QtyDia=0.67
DEBUG 46027: Cant=2.0, PP=1.0, Pend=1.0, SegDur=7.0, TotDur=14.0, QtyDia=0.5
DEBUG 46027: Cant=2.0, PP=1.0, Pend=1.0, SegDur=7.0, TotDur=14.0, QtyDia=0.5
DEBUG 47479: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.36, TotDur=4.36, QtyDia=1.0
DEBUG 47475: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.64, TotDur=5.8, QtyDia=0.8
DEBUG 47475: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.16, TotDur=5.8, QtyDia=0.2
DEBUG 47037: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.0, TotDur=4.0, QtyDia=1.0
DEBUG 47052: Cant=90.0, PP=10.0, Pend=80.0, SegDur=2.64, TotDur=2.64, QtyDia=80.0
DEBUG 47029: Cant=65.0, PP=49.0, Pend=16.0, SegDur=0.8, TotDur=0.8, QtyDia=16.0
DEBUG 47474: Cant=30.0, PP=0.0, Pend=30.0, SegDur=0.4, TotDur=6.42, QtyDia=1.87
DEBUG 47474: Cant=30.0, PP=0.0, Pend=30.0, SegDur=6.02, TotDur=6.42, QtyDia=28.13
DEBUG 47051: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.2, TotDur=3.0, QtyDia=0.4
DEBUG 47051: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.8, TotDur=3.0, QtyDia=0.6
DEBUG 47028: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.5, TotDur=2.5, QtyDia=1.0
DEBUG 47050: Cant=90.0, PP=73.0, Pend=17.0, SegDur=2.754, TotDur=2.754, QtyDia=17.0
DEBUG 47582: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.9460000000000002, TotDur=4.0, QtyDia=0.49
DEBUG 47582: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.054, TotDur=4.0, QtyDia=0.51
DEBUG 47575: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.5, TotDur=2.5, QtyDia=1.0
DEBUG 47042: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.0, TotDur=4.0, QtyDia=1.0
DEBUG 46587: Cant=5.0, PP=0.0, Pend=5.0, SegDur=0.44599999999999995, TotDur=10.0, QtyDia=0.22
DEBUG 46587: Cant=5.0, PP=0.0, Pend=5.0, SegDur=9.0, TotDur=10.0, QtyDia=4.5
DEBUG 46587: Cant=5.0, PP=0.0, Pend=5.0, SegDur=0.554, TotDur=10.0, QtyDia=0.28
DEBUG 47581: Cant=320.0, PP=2.0, Pend=318.0, SegDur=8.446, TotDur=37.206, QtyDia=72.19
DEBUG 47581: Cant=320.0, PP=2.0, Pend=318.0, SegDur=9.0, TotDur=37.206, QtyDia=76.92
DEBUG 47581: Cant=320.0, PP=2.0, Pend=318.0, SegDur=9.0, TotDur=37.206, QtyDia=76.92
DEBUG 47581: Cant=320.0, PP=2.0, Pend=318.0, SegDur=9.0, TotDur=37.206, QtyDia=76.92
DEBUG 47581: Cant=320.0, PP=2.0, Pend=318.0, SegDur=1.76, TotDur=37.206, QtyDia=15.04
DEBUG 47574: Cant=320.0, PP=0.0, Pend=320.0, SegDur=7.24, TotDur=10.24, QtyDia=226.25
DEBUG 47574: Cant=320.0, PP=0.0, Pend=320.0, SegDur=3.0, TotDur=10.24, QtyDia=93.75
DEBUG 47041: Cant=90.0, PP=19.0, Pend=71.0, SegDur=6.0, TotDur=8.307, QtyDia=51.28
DEBUG 47322: Cant=1.0, PP=0.0, Pend=1.0, SegDur=5.0, TotDur=5.0, QtyDia=1.0
DEBUG 47314: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.0, TotDur=5.0, QtyDia=0.8
DEBUG 47314: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.0, TotDur=5.0, QtyDia=0.2
DEBUG 47300: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.0, TotDur=4.0, QtyDia=1.0
DEBUG 47278: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.0, TotDur=4.0, QtyDia=1.0
DEBUG 47292: Cant=50.0, PP=47.0, Pend=3.0, SegDur=0.33, TotDur=0.33, QtyDia=3.0
DEBUG 47321: Cant=20.0, PP=0.0, Pend=20.0, SegDur=2.2, TotDur=2.2, QtyDia=20.0
DEBUG 47313: Cant=20.0, PP=0.0, Pend=20.0, SegDur=2.2, TotDur=2.2, QtyDia=20.0
DEBUG 47298: Cant=1.0, PP=0.0, Pend=1.0, SegDur=3.0, TotDur=3.0, QtyDia=1.0
DEBUG 47312: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.0, TotDur=2.0, QtyDia=1.0
DEBUG 47319: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.0, TotDur=2.0, QtyDia=1.0
DEBUG 47304: Cant=20.0, PP=15.0, Pend=5.0, SegDur=0.27, TotDur=0.55, QtyDia=2.45
DEBUG 47304: Cant=20.0, PP=15.0, Pend=5.0, SegDur=0.28, TotDur=0.55, QtyDia=2.55
DEBUG 47290: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.0, TotDur=2.0, QtyDia=1.0
DEBUG 47275: Cant=50.0, PP=48.0, Pend=2.0, SegDur=0.28, TotDur=0.28, QtyDia=2.0
DEBUG 47297: Cant=50.0, PP=47.0, Pend=3.0, SegDur=0.42, TotDur=0.42000000000000004, QtyDia=3.0
DEBUG 47289: Cant=50.0, PP=49.0, Pend=1.0, SegDur=0.14, TotDur=0.14, QtyDia=1.0
DEBUG 46593: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.0, TotDur=2.0, QtyDia=1.0
DEBUG 46583: Cant=930.0, PP=858.0, Pend=72.0, SegDur=2.16, TotDur=2.16, QtyDia=72.0
DEBUG 46592: Cant=665.0, PP=593.0, Pend=72.0, SegDur=1.72, TotDur=2.16, QtyDia=57.33
DEBUG 46592: Cant=665.0, PP=593.0, Pend=72.0, SegDur=0.44, TotDur=2.16, QtyDia=14.67
